division,Risk_Score
Galenbindunuwewa,1.168997228058636
Galnewa,1.1994797206676346
Horowpothana,1.1995899677276611
Ipalogama,1.1922228466519962
Kahatagasdigiliya,1.1994763627993785
Kebithigollewa,1.1993178893908036
Kekirawa,1.1992801120499963
Mahawilachchiya,1.1991811381726318
Medawachchiya,1.1692568063735962
Mihintale,1.199704381299952
Nachchadoowa,1.1244109272956848
Nochchiyagama,0.8503898084163666
NuwaragamCentral,0.9098061323165894
NuwaragamEast,0.8028978407382965
Padaviya,0.9322299361228943
Palagala,1.1348221898078918
Palugaswewa,1.1995269963132502
Rajanganaya,0.8693350255489349
Rambewa,1.1989518399445378
Thalawa,0.8523062169551849
Thambutthegama,0.8226874470710754
Tirappane,1.1737423734344907
